,question,self,typical,game_type,selfType,typicalType,batch,subID,mode,psiturk_status,data_status,bonus
2,3,coop,coop,PD,none,trust,batch7,8021,live,4,complete,0.23
3,4,def,coop,SG,none,trust,batch7,8021,live,4,complete,0.23
0,1,coop,coop,SH,none,trust,batch7,8021,live,4,complete,0.23
1,2,coop,coop,HG,opt,opt,batch7,8022,live,4,complete,0.29
2,3,def,def,PD,opt,opt,batch7,8022,live,4,complete,0.29
3,4,def,def,SG,opt,opt,batch7,8022,live,4,complete,0.29
0,1,coop,coop,SH,opt,opt,batch7,8022,live,4,complete,0.29
1,2,coop,coop,HG,pess,pess,batch7,8023,live,4,complete,0.42
2,3,def,def,PD,pess,pess,batch7,8023,live,4,complete,0.42
3,4,coop,coop,SG,pess,pess,batch7,8023,live,4,complete,0.42
0,1,def,def,SH,pess,pess,batch7,8023,live,4,complete,0.42
1,2,coop,coop,HG,trust,trust,batch7,8024,live,4,complete,0.64
2,3,coop,coop,PD,trust,trust,batch7,8024,live,4,complete,0.64
3,4,coop,coop,SG,trust,trust,batch7,8024,live,4,complete,0.64
0,1,coop,coop,SH,trust,trust,batch7,8024,live,4,complete,0.64
1,2,coop,coop,HG,trust,opt,batch7,8025,live,4,complete,0.25
2,3,coop,def,PD,trust,opt,batch7,8025,live,4,complete,0.25
3,4,coop,def,SG,trust,opt,batch7,8025,live,4,complete,0.25
0,1,coop,coop,SH,trust,opt,batch7,8025,live,4,complete,0.25
1,2,coop,coop,HG,pess,none,batch7,8026,live,4,complete,0.69
2,3,def,def,PD,pess,none,batch7,8026,live,4,complete,0.69
3,4,coop,coop,SG,pess,none,batch7,8026,live,4,complete,0.69
0,1,def,coop,SH,pess,none,batch7,8026,live,4,complete,0.69
1,2,coop,coop,HG,none,trust,batch7,8028,live,4,complete,0.64
2,3,coop,coop,PD,none,trust,batch7,8028,live,4,complete,0.64
3,4,def,coop,SG,none,trust,batch7,8028,live,4,complete,0.64
0,1,coop,coop,SH,none,trust,batch7,8028,live,4,complete,0.64
1,2,coop,coop,HG,none,trust,batch7,8030,live,4,complete,0.33
2,3,def,coop,PD,none,trust,batch7,8030,live,4,complete,0.33
3,4,coop,coop,SG,none,trust,batch7,8030,live,4,complete,0.33
0,1,coop,coop,SH,none,trust,batch7,8030,live,4,complete,0.33
1,2,coop,coop,HG,trust,opt,batch7,8032,live,4,complete,0.25
2,3,coop,def,PD,trust,opt,batch7,8032,live,4,complete,0.25
3,4,coop,def,SG,trust,opt,batch7,8032,live,4,complete,0.25
0,1,coop,coop,SH,trust,opt,batch7,8032,live,4,complete,0.25
1,2,coop,coop,HG,trust,opt,batch7,8036,live,4,complete,0.62
2,3,coop,def,PD,trust,opt,batch7,8036,live,4,complete,0.62
3,4,coop,def,SG,trust,opt,batch7,8036,live,4,complete,0.62
0,1,coop,coop,SH,trust,opt,batch7,8036,live,4,complete,0.62
1,2,coop,coop,HG,opt,trust,batch7,8037,live,4,complete,0.33
2,3,def,coop,PD,opt,trust,batch7,8037,live,4,complete,0.33
3,4,def,coop,SG,opt,trust,batch7,8037,live,4,complete,0.33
0,1,coop,coop,SH,opt,trust,batch7,8037,live,4,complete,0.33
1,2,coop,coop,HG,Nash,Nash,batch7,8038,live,4,complete,0.5
2,3,def,def,PD,Nash,Nash,batch7,8038,live,4,complete,0.5
3,4,def,def,SG,Nash,Nash,batch7,8038,live,4,complete,0.5
0,1,def,def,SH,Nash,Nash,batch7,8038,live,4,complete,0.5
1,2,coop,coop,HG,pess,none,batch7,8039,live,4,complete,0.71
2,3,def,coop,PD,pess,none,batch7,8039,live,4,complete,0.71
3,4,coop,coop,SG,pess,none,batch7,8039,live,4,complete,0.71
0,1,def,def,SH,pess,none,batch7,8039,live,4,complete,0.71
1,2,coop,coop,HG,trust,trust,batch7,8043,live,4,complete,0.15
2,3,coop,coop,PD,trust,trust,batch7,8043,live,4,complete,0.15
3,4,coop,coop,SG,trust,trust,batch7,8043,live,4,complete,0.15
0,1,coop,coop,SH,trust,trust,batch7,8043,live,4,complete,0.15
1,2,coop,coop,HG,trust,trust,batch7,8044,live,4,complete,0.24
2,3,coop,coop,PD,trust,trust,batch7,8044,live,4,complete,0.24
3,4,coop,coop,SG,trust,trust,batch7,8044,live,4,complete,0.24
0,1,coop,coop,SH,trust,trust,batch7,8044,live,4,complete,0.24
1,2,coop,coop,HG,Nash,pess,batch7,8046,live,4,complete,0.49
2,3,def,def,PD,Nash,pess,batch7,8046,live,4,complete,0.49
3,4,def,coop,SG,Nash,pess,batch7,8046,live,4,complete,0.49
0,1,def,def,SH,Nash,pess,batch7,8046,live,4,complete,0.49
1,2,coop,coop,HG,trust,trust,batch7,8048,live,4,complete,0.4
2,3,coop,coop,PD,trust,trust,batch7,8048,live,4,complete,0.4
3,4,coop,coop,SG,trust,trust,batch7,8048,live,4,complete,0.4
0,1,coop,coop,SH,trust,trust,batch7,8048,live,4,complete,0.4
1,2,coop,coop,HG,trust,none,batch7,8049,live,4,complete,0.18
2,3,coop,coop,PD,trust,none,batch7,8049,live,4,complete,0.18
