,sub,subID,Block,Player,Type,Variant,Type_Total,Trial,S,T,GameType,Colors,CorrAns,GivenAns,ConfidenceNum,ScoreNum,RT_radio,RT_submit,SelfReport
105,4,2004,2,E.B.,pess,inv,pess_inv,9,3,8,SH,"['Yellow', 'Blue']",coop,coop,60.0,1,4808.0,6032.0,unknown
106,4,2004,2,E.B.,pess,inv,pess_inv,10,7,15,SG,"['Yellow', 'Blue']",def,coop,70.0,0,6514.0,7944.0,unknown
107,4,2004,2,E.B.,pess,inv,pess_inv,11,3,15,PD,"['Yellow', 'Blue']",coop,def,90.0,0,11348.0,12684.0,unknown
108,4,2004,2,E.B.,pess,inv,pess_inv,12,0,15,PD,"['Yellow', 'Blue']",coop,coop,60.0,1,3007.0,4642.0,unknown
109,4,2004,2,E.B.,pess,inv,pess_inv,13,0,8,SH,"['Yellow', 'Blue']",coop,coop,50.0,1,2326.0,3621.0,unknown
110,4,2004,2,E.B.,pess,inv,pess_inv,14,10,12,SG,"['Yellow', 'Blue']",def,coop,20.0,0,3290.0,4818.0,unknown
111,4,2004,2,E.B.,pess,inv,pess_inv,15,7,8,HG,"['Yellow', 'Blue']",def,coop,10.0,0,6495.0,7404.0,unknown
112,4,2004,3,G.P.,opt,inv,opt_inv,0,7,5,HG,"['Green', 'Red']",def,coop,90.0,0,6902.0,8457.0,
113,4,2004,3,G.P.,opt,inv,opt_inv,1,3,5,SH,"['Green', 'Red']",def,coop,70.0,0,6607.0,9289.0,
114,4,2004,3,G.P.,opt,inv,opt_inv,2,7,12,SG,"['Green', 'Red']",coop,def,80.0,0,2308.0,3522.0,
115,4,2004,3,G.P.,opt,inv,opt_inv,3,3,15,PD,"['Green', 'Red']",coop,def,90.0,0,7725.0,9285.0,
116,4,2004,3,G.P.,opt,inv,opt_inv,4,0,5,SH,"['Green', 'Red']",def,def,50.0,1,5837.0,7035.0,
117,4,2004,3,G.P.,opt,inv,opt_inv,5,0,15,PD,"['Green', 'Red']",coop,def,40.0,0,2919.0,4759.0,
118,4,2004,3,G.P.,opt,inv,opt_inv,6,7,15,SG,"['Green', 'Red']",coop,coop,10.0,1,6095.0,8263.0,
119,4,2004,3,G.P.,opt,inv,opt_inv,7,10,8,HG,"['Green', 'Red']",def,coop,100.0,0,3284.0,4555.0,
120,4,2004,3,G.P.,opt,inv,opt_inv,8,10,12,SG,"['Green', 'Red']",coop,def,50.0,0,6047.0,7351.0,
121,4,2004,3,G.P.,opt,inv,opt_inv,9,3,8,SH,"['Green', 'Red']",def,def,30.0,1,4625.0,6010.0,
122,4,2004,3,G.P.,opt,inv,opt_inv,10,10,5,HG,"['Green', 'Red']",def,coop,60.0,0,2780.0,5220.0,
123,4,2004,3,G.P.,opt,inv,opt_inv,11,3,12,PD,"['Green', 'Red']",coop,def,40.0,0,3345.0,4530.0,
124,4,2004,3,G.P.,opt,inv,opt_inv,12,10,15,SG,"['Green', 'Red']",coop,def,40.0,0,5604.0,6758.0,
125,4,2004,3,G.P.,opt,inv,opt_inv,13,0,12,PD,"['Green', 'Red']",coop,def,60.0,0,2457.0,3954.0,
126,4,2004,3,G.P.,opt,inv,opt_inv,14,0,8,SH,"['Green', 'Red']",def,def,10.0,1,3261.0,4693.0,
127,4,2004,3,G.P.,opt,inv,opt_inv,15,7,8,HG,"['Green', 'Red']",def,coop,30.0,0,4044.0,5275.0,
128,5,2005,0,D.T.,pess,nat,pess_nat,0,0,5,SH,"['Red', 'Yellow']",def,coop,90.0,0,4589.0,9960.0,To choose erratically.
129,5,2005,0,D.T.,pess,nat,pess_nat,1,10,5,HG,"['Red', 'Yellow']",coop,coop,60.0,1,11685.0,13533.0,To choose erratically.
130,5,2005,0,D.T.,pess,nat,pess_nat,2,3,15,PD,"['Red', 'Yellow']",def,def,80.0,1,3936.0,6457.0,To choose erratically.
131,5,2005,0,D.T.,pess,nat,pess_nat,3,7,12,SG,"['Red', 'Yellow']",coop,def,70.0,0,2723.0,4563.0,To choose erratically.
132,5,2005,0,D.T.,pess,nat,pess_nat,4,10,8,HG,"['Red', 'Yellow']",coop,coop,80.0,1,4148.0,5829.0,To choose erratically.
133,5,2005,0,D.T.,pess,nat,pess_nat,5,0,15,PD,"['Red', 'Yellow']",def,def,60.0,1,3511.0,4929.0,To choose erratically.
134,5,2005,0,D.T.,pess,nat,pess_nat,6,3,5,SH,"['Red', 'Yellow']",def,coop,90.0,0,3480.0,6565.0,To choose erratically.
135,5,2005,0,D.T.,pess,nat,pess_nat,7,7,15,SG,"['Red', 'Yellow']",coop,def,50.0,0,4712.0,6873.0,To choose erratically.
136,5,2005,0,D.T.,pess,nat,pess_nat,8,3,12,PD,"['Red', 'Yellow']",def,def,70.0,1,6452.0,8208.0,To choose erratically.
137,5,2005,0,D.T.,pess,nat,pess_nat,9,10,12,SG,"['Red', 'Yellow']",coop,coop,60.0,1,5057.0,8535.0,To choose erratically.
138,5,2005,0,D.T.,pess,nat,pess_nat,10,7,8,HG,"['Red', 'Yellow']",coop,coop,80.0,1,2510.0,4355.0,To choose erratically.
139,5,2005,0,D.T.,pess,nat,pess_nat,11,3,8,SH,"['Red', 'Yellow']",def,coop,80.0,0,2046.0,3647.0,To choose erratically.
140,5,2005,0,D.T.,pess,nat,pess_nat,12,0,12,PD,"['Red', 'Yellow']",def,def,80.0,1,5317.0,7012.0,To choose erratically.
141,5,2005,0,D.T.,pess,nat,pess_nat,13,0,8,SH,"['Red', 'Yellow']",def,coop,50.0,0,6506.0,8475.0,To choose erratically.
142,5,2005,0,D.T.,pess,nat,pess_nat,14,10,15,SG,"['Red', 'Yellow']",coop,def,70.0,0,4771.0,5927.0,To choose erratically.
143,5,2005,0,D.T.,pess,nat,pess_nat,15,7,5,HG,"['Red', 'Yellow']",coop,coop,40.0,1,4646.0,6436.0,To choose erratically.
