,sub,subID,Trial,Variant,Type_Total,CorrAns,GivenAns,Confidence,sub_score,model_pred_coop,model_pred,model_score
295,8,2008,7,inv,opt_inv,coop,coop,80,1,0.47421600532438,def,0
296,8,2008,8,inv,opt_inv,coop,def,80,0,0.499523809016054,def,0
297,8,2008,9,inv,opt_inv,coop,coop,80,1,0.5236176617215329,coop,1
298,8,2008,10,inv,opt_inv,def,coop,60,0,0.453548415325006,def,1
299,8,2008,11,inv,opt_inv,def,coop,60,0,0.431987665852198,def,1
300,8,2008,12,inv,opt_inv,coop,def,50,0,0.5883124692817551,coop,1
301,8,2008,13,inv,opt_inv,def,coop,50,0,0.392616028323757,def,1
302,8,2008,14,inv,opt_inv,coop,coop,50,1,0.625272698404022,coop,1
303,8,2008,15,inv,opt_inv,def,coop,60,0,0.3579662290902279,def,1
304,8,2008,0,inv,pess_inv,def,coop,100,0,0.7237028574065709,coop,0
305,8,2008,1,inv,pess_inv,coop,def,70,0,0.694966210303845,coop,1
306,8,2008,2,inv,pess_inv,coop,coop,80,1,0.29271730546472197,def,0
307,8,2008,3,inv,pess_inv,def,def,70,1,0.321710069539904,def,1
308,8,2008,4,inv,pess_inv,def,def,80,1,0.308333867190753,def,1
309,8,2008,5,inv,pess_inv,def,coop,60,0,0.7041916133273379,coop,0
310,8,2008,6,inv,pess_inv,coop,def,60,0,0.324835988464176,def,0
311,8,2008,7,inv,pess_inv,coop,def,60,0,0.646005291811222,coop,1
312,8,2008,8,inv,pess_inv,def,coop,60,0,0.338554312923526,def,1
313,8,2008,9,inv,pess_inv,coop,coop,70,1,0.6758983443059922,coop,1
314,8,2008,10,inv,pess_inv,coop,coop,80,1,0.31057286933819606,def,0
315,8,2008,11,inv,pess_inv,def,coop,80,0,0.660289440612094,coop,0
316,8,2008,12,inv,pess_inv,coop,coop,80,1,0.36880628740936205,def,0
317,8,2008,13,inv,pess_inv,def,def,60,1,0.39754491567033,def,1
318,8,2008,14,inv,pess_inv,coop,coop,70,1,0.620651700390557,coop,1
319,8,2008,15,inv,pess_inv,def,def,70,1,0.637705400040566,coop,0
320,9,2009,0,nat,opt_nat,coop,def,60,0,0.265958750854531,def,0
321,9,2009,1,nat,opt_nat,def,coop,60,0,0.31263611259221097,def,1
322,9,2009,2,nat,opt_nat,def,def,60,1,0.707790277613896,coop,0
323,9,2009,3,nat,opt_nat,coop,coop,60,1,0.660474238255003,coop,1
324,9,2009,4,nat,opt_nat,coop,coop,90,1,0.6836486512949259,coop,1
325,9,2009,5,nat,opt_nat,def,def,60,1,0.295546992176864,def,1
326,9,2009,6,nat,opt_nat,coop,def,70,0,0.407335347059896,def,0
327,9,2009,7,nat,opt_nat,def,coop,50,0,0.425076121606662,def,1
328,9,2009,8,nat,opt_nat,def,def,70,1,0.295597647481685,def,1
329,9,2009,9,nat,opt_nat,coop,coop,30,1,0.606746006536788,coop,1
330,9,2009,10,nat,opt_nat,def,coop,40,0,0.5503837652214411,coop,0
331,9,2009,11,nat,opt_nat,coop,coop,100,1,0.705716919128397,coop,1
332,9,2009,12,nat,opt_nat,coop,def,40,0,0.459451144137317,def,0
333,9,2009,13,nat,opt_nat,coop,coop,90,1,0.7072592154705991,coop,1
334,9,2009,14,nat,opt_nat,def,def,60,1,0.274323059282956,def,1
335,9,2009,15,nat,opt_nat,def,coop,50,0,0.541568698104113,coop,0
336,9,2009,0,nat,pess_nat,coop,coop,60,1,0.7340412491454691,coop,1
337,9,2009,1,nat,pess_nat,def,def,50,1,0.250186870656936,def,1
338,9,2009,2,nat,pess_nat,def,coop,60,0,0.552349449541462,coop,0
339,9,2009,3,nat,pess_nat,coop,coop,60,1,0.764069554241129,coop,1
